,long,short
0,"{-1: deque([1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 28, 32], maxlen=250000), 1.5: deque([0], maxlen=250000)}","{-1: deque([9, 13, 14, 18, 27, 29, 30, 31], maxlen=250000), 1.5: deque([0], maxlen=250000), 1: deque([33], maxlen=250000)}"
1,"{-1: deque([1, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 22, 25, 26, 27, 28, 29, 31], maxlen=250000), 1.5: deque([0], maxlen=250000)}","{-1: deque([2, 6, 19, 21, 23, 24, 30, 32], maxlen=250000), 1.5: deque([0], maxlen=250000), 1: deque([33], maxlen=250000)}"
2,"{-1: deque([1, 2, 4, 5, 7, 8, 9, 11, 13, 14, 16, 18, 19, 20, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32], maxlen=250000), 1.5: deque([0], maxlen=250000)}","{-1: deque([3, 6, 10, 12, 15, 17, 21, 24], maxlen=250000), 1.5: deque([0], maxlen=250000), 1: deque([33], maxlen=250000)}"
3,"{-1: deque([1, 3, 4, 5, 7, 8, 10, 11, 13, 15, 16, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32], maxlen=250000), 1.5: deque([0], maxlen=250000)}","{-1: deque([2, 6, 9, 12, 14, 17, 19, 29], maxlen=250000), 1.5: deque([0], maxlen=250000), 1: deque([33], maxlen=250000)}"
4,"{-1: deque([1, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 19, 20, 21, 22, 23, 25, 26, 28, 29, 31, 32], maxlen=250000), 1.5: deque([0], maxlen=250000)}","{-1: deque([2, 3, 11, 13, 18, 24, 27, 30], maxlen=250000), 1.5: deque([0], maxlen=250000), 1: deque([33], maxlen=250000)}"
5,"{-1: deque([3, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 29, 30, 31], maxlen=250000), 1.5: deque([0], maxlen=250000)}","{-1: deque([1, 2, 4, 7, 10, 21, 28, 32], maxlen=250000), 1.5: deque([0], maxlen=250000), 1: deque([33], maxlen=250000)}"
6,"{-1: deque([1, 3, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 22, 23, 25, 26, 28, 30, 31, 32], maxlen=250000), 1.5: deque([0], maxlen=250000)}","{-1: deque([2, 4, 7, 17, 21, 24, 27, 29], maxlen=250000), 1.5: deque([0], maxlen=250000), 1: deque([33], maxlen=250000)}"
7,"{-1: deque([1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 19, 20, 22, 23, 24, 26, 28, 29, 31, 32], maxlen=250000), 1.5: deque([0], maxlen=250000)}","{-1: deque([3, 11, 14, 18, 21, 25, 27, 30], maxlen=250000), 1.5: deque([0], maxlen=250000), 1: deque([33], maxlen=250000)}"
8,"{-1: deque([1, 4, 5, 6, 8, 9, 10, 11, 12, 13, 16, 17, 20, 21, 22, 23, 24, 25, 27, 28, 29, 30, 31, 32], maxlen=250000), 1.5: deque([0], maxlen=250000)}","{-1: deque([2, 3, 7, 14, 15, 18, 19, 26], maxlen=250000), 1.5: deque([0], maxlen=250000), 1: deque([33], maxlen=250000)}"
9,"{-1: deque([3, 4, 5, 6, 8, 9, 10, 11, 13, 14, 15, 16, 19, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32], maxlen=250000), 1.5: deque([0], maxlen=250000)}","{-1: deque([1, 2, 7, 12, 17, 18, 20, 29], maxlen=250000), 1.5: deque([0], maxlen=250000), 1: deque([33], maxlen=250000)}"
10,"{-1: deque([1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 13, 15, 16, 17, 18, 20, 21, 22, 25, 26, 27, 30, 31, 32], maxlen=250000), 1.5: deque([0], maxlen=250000)}","{-1: deque([4, 12, 14, 19, 23, 24, 28, 29], maxlen=250000), 1.5: deque([0], maxlen=250000), 1: deque([33], maxlen=250000)}"
11,"{-1: deque([1, 2, 3, 4, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 21, 22, 23, 24, 27, 28, 29, 30, 31, 32], maxlen=250000), 1.5: deque([0], maxlen=250000)}","{-1: deque([5, 6, 7, 13, 19, 20, 25, 26], maxlen=250000), 1.5: deque([0], maxlen=250000), 1: deque([33], maxlen=250000)}"
12,"{-1: deque([1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 24, 25, 29, 31, 32], maxlen=250000), 1.5: deque([0], maxlen=250000)}","{-1: deque([4, 19, 20, 23, 26, 27, 28, 30], maxlen=250000), 1.5: deque([0], maxlen=250000), 1: deque([33], maxlen=250000)}"
13,"{-1: deque([1, 2, 3, 5, 8, 9, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 32], maxlen=250000), 1.5: deque([0], maxlen=250000)}","{-1: deque([4, 6, 7, 10, 16, 25, 30, 31], maxlen=250000), 1.5: deque([0], maxlen=250000), 1: deque([33], maxlen=250000)}"
14,"{-1: deque([1, 2, 3, 7, 8, 9, 10, 11, 13, 14, 16, 17, 18, 19, 20, 22, 23, 25, 26, 27, 28, 29, 31, 32], maxlen=250000), 1.5: deque([0], maxlen=250000)}","{-1: deque([4, 5, 6, 12, 15, 21, 24, 30], maxlen=250000), 1.5: deque([0], maxlen=250000), 1: deque([33], maxlen=250000)}"
15,"{-1: deque([1, 2, 3, 5, 7, 8, 9, 10, 11, 13, 14, 15, 17, 19, 21, 22, 23, 24, 25, 26, 27, 28, 31, 32], maxlen=250000), 1.5: deque([0], maxlen=250000)}","{-1: deque([4, 6, 12, 16, 18, 20, 29, 30], maxlen=250000), 1.5: deque([0], maxlen=250000), 1: deque([33], maxlen=250000)}"
16,"{-1: deque([1, 2, 4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 25, 26, 27, 28, 29, 30], maxlen=250000), 1.5: deque([0], maxlen=250000)}","{-1: deque([3, 5, 6, 19, 20, 24, 31, 32], maxlen=250000), 1.5: deque([0], maxlen=250000), 1: deque([33], maxlen=250000)}"
17,"{-1: deque([1, 2, 3, 4, 5, 6, 8, 9, 11, 12, 13, 15, 16, 17, 18, 20, 21, 22, 25, 27, 28, 30, 31, 32], maxlen=250000), 1.5: deque([0], maxlen=250000)}","{-1: deque([7, 10, 14, 19, 23, 24, 26, 29], maxlen=250000), 1.5: deque([0], maxlen=250000), 1: deque([33], maxlen=250000)}"
