,0
0,B
1,B
2,A
3,A
4,A
5,A
6,A
7,B
8,A
9,A
10,A
11,A
12,A
13,A
14,A
15,B
16,A
17,A
18,A
19,A
20,A
21,B
22,B
23,B
24,A
25,B
26,A
27,B
28,A
29,A
30,B
31,A
32,A
33,A
34,A
35,A
36,B
37,B
38,A
39,A
40,B
41,B
42,A
43,B
44,A
45,A
46,A
47,B
48,A
49,B
50,A
51,A
52,A
53,B
54,B
55,B
56,B
57,A
58,A
59,A
60,A
61,B
62,A
63,A
64,A
65,A
66,B
67,A
68,A
69,B
70,A
71,A
72,B
73,B
74,B
75,B
76,A
77,A
78,A
79,A
80,B
81,A
82,B
83,B
84,A
85,B
86,B
87,B
88,A
89,B
90,A
91,A
92,A
93,B
94,B
95,A
96,B
97,B
98,B
99,B
100,B
101,A
102,B
103,A
104,B
105,B
106,A
107,B
108,A
109,A
110,A
111,B
112,B
113,A
114,A
115,A
116,B
117,B
118,B
119,A
120,A
121,B
122,B
123,B
124,B
125,B
126,A
127,B
128,B
129,B
130,B
131,A
132,B
133,A
134,B
135,A
136,B
137,A
138,A
139,A
140,B
141,B
142,A
143,B
144,A
145,B
146,A
147,A
148,A
149,A
150,A
151,B
152,B
153,A
154,A
155,A
156,A
157,A
158,A
159,A
160,A
161,B
162,A
163,A
164,A
165,B
166,A
167,A
168,B
169,B
170,B
171,A
172,A
173,B
174,B
175,B
176,B
177,A
178,A
179,A
180,B
181,A
182,A
183,B
184,A
185,B
186,A
187,A
188,B
189,A
190,A
191,A
192,A
193,B
194,A
195,B
196,A
197,A
198,A
199,B
200,B
201,B
202,A
203,A
204,A
205,A
206,B
207,B
208,A
209,B
210,B
211,B
212,A
213,A
214,A
215,A
216,A
217,A
218,B
219,B
220,A
221,B
222,A
223,B
224,A
225,B
226,A
227,B
228,A
229,A
230,A
231,B
232,A
233,B
234,B
235,A
236,B
237,B
238,A
239,A
240,A
241,A
242,B
243,A
244,A
245,A
246,B
247,B
248,B
249,A
250,A
251,B
252,B
253,B
254,A
255,A
256,B
257,B
258,A
259,B
260,A
261,A
262,A
263,B
264,B
265,B
266,B
267,B
268,A
269,A
270,A
271,A
272,A
273,A
274,A
275,A
276,B
277,A
278,A
279,B
280,B
281,A
282,A
283,A
284,A
285,A
286,B
287,A
288,B
289,A
290,A
291,B
292,A
293,A
294,B
295,A
296,B
297,A
298,A
299,A
300,A
301,B
302,B
303,A
304,A
305,A
306,B
307,B
308,A
309,A
310,A
311,B
312,A
313,A
314,B
315,B
316,A
317,A
318,A
319,A
320,A
321,B
322,B
323,A
324,B
325,A
326,A
327,A
328,B
329,A
330,A
331,A
332,A
333,A
334,A
335,B
336,A
337,A
338,A
339,B
340,B
341,B
342,A
343,B
344,A
345,B
346,B
347,B
348,A
349,A
350,A
351,A
352,B
353,B
354,A
355,A
356,A
357,A
358,B
359,B
360,A
361,A
362,A
363,A
364,A
365,B
366,A
367,A
368,B
369,A
370,B
371,B
372,A
373,B
374,B
375,B
376,A
377,A
378,A
379,B
380,B
381,B
382,B
383,B
384,A
385,A
386,A
387,A
388,B
389,A
390,B
391,B
392,B
393,A
394,A
395,A
396,A
397,B
398,A
399,A
400,A
401,B
402,B
403,A
404,B
405,B
406,A
407,A
408,B
409,A
410,B
411,A
412,A
413,A
414,B
415,A
416,A
417,B
418,B
419,B
420,A
421,A
422,A
423,A
424,A
425,A
426,A
427,A
428,B
429,B
430,B
431,B
432,A
433,B
434,A
435,B
436,B
437,A
438,A
439,B
440,B
441,B
442,B
443,A
444,B
445,B
446,A
447,A
448,A
449,B
450,A
451,A
452,B
453,A
454,A
455,A
456,A
457,A
458,A
459,A
460,A
461,A
462,B
463,B
464,A
465,A
466,A
467,A
468,B
469,A
470,B
471,A
472,A
473,A
474,A
475,A
476,A
477,B
478,B
479,A
480,B
481,B
482,B
483,B
484,A
485,A
486,A
487,A
488,A
489,A
490,B
491,B
492,B
493,A
494,B
495,A
496,B
497,B
498,B
499,A
500,B
501,A
502,A
503,B
504,A
505,B
506,B
507,A
508,B
509,B
